budget,id,imdb_id,language,popularity,release_date,revenue,runtime,keyword,Day,Year,Fantasy,Documentary,Science Fiction,Music,Western,TV Movie,Mystery,Animation,Crime,War,Comedy,Adventure,Foreign,Action,Romance,Horror,Drama,Thriller,History,Family,is_holiday,is_near_holiday,Canada,United Kingdom,United States of America,Other_Country,Australia,India,Germany,France,Italy,cast,crew
1300000,103,tt0075314,1.0,14.092713,1976-02-07,28262574,114.0,7,5,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,25
7500000,33542,tt0113326,0.0,12.314278,1995-01-30,32392047,91.0,7,0,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1
25000000,78406,tt0114536,1.0,1.522412,1995-09-29,6278139,113.0,4,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2
40000000,11066,tt0103859,1.0,6.506983,1992-06-30,70100000,117.0,3,1,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5
7000000,2074,tt0116324,1.0,5.579088,1996-03-22,14702438,92.0,1,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,10
50000000,11863,tt0113451,1.0,11.418917,1995-10-13,9851610,95.0,3,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5
31000000,11000,tt0115685,1.0,6.49968,1996-03-08,185260553,117.0,8,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5
19000000,9737,tt0112442,1.0,9.262184,1995-04-07,141407024,118.0,15,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,14
4000000,22279,tt0112427,1.0,0.922958,1995-07-21,851545,113.0,3,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,13
52000000,568,tt0112384,1.0,18.761467,1995-06-30,355237933,140.0,13,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,59
28000000,11780,tt0114287,1.0,10.193549,1995-04-13,31596911,139.0,3,3,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7
100000000,414,tt0112462,1.0,13.321354,1995-06-16,336529144,121.0,12,4,1995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,64
2000000,5894,tt0112541,1.0,11.528147,1995-09-15,1275000,83.0,2,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,12
11000000,1775,tt0109370,1.0,5.391556,1995-06-08,178104,91.0,0,3,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8
50000000,8839,tt0112642,1.0,12.812539,1995-05-26,287928194,100.0,7,4,1995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,14
25000000,20649,tt0112688,1.0,4.558992,1995-09-15,13071518,128.0,3,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3
50000000,10329,tt0112715,1.0,7.260574,1995-06-09,152022101,109.0,0,4,1995,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,9
53000000,8963,tt0112740,1.0,8.657365,1995-05-12,157387195,116.0,7,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,28
